127.0.0.1 - - [17/May/2016:12:18:15 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2016:12:18:49 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [17/May/2016:12:18:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:18:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:41 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:41 +0800] "GET /eduassistem/teacher.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:41 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:41 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:43 +0800] "GET /eduassistem/teacher_info.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:45 +0800] "GET /eduassistem/teacher_info_query.jsp HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:47 +0800] "GET /eduassistem/teacher_info.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2016:12:20:48 +0800] "GET /eduassistem/teacher_info_changepwd.jsp HTTP/1.1" 200 1444
