127.0.0.1 - - [24/Apr/2016:13:37:40 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:38:47 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:38:48 +0800] "GET /eduassistem/js/logincheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:38:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:38:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:02 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:03 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:04 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:04 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:10 +0800] "GET /eduassistem/student_qa.jsp HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:14 +0800] "GET /eduassistem/student_qa_query HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:39:14 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:51 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:58 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:58 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2016:13:41:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
