0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:45 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:48 +0800] "POST /eduassistem/student_coursesel_execute.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:49 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:39:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:41:58 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:41:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:41:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:04 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:04 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:04 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:04 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
