127.0.0.1 - - [08/May/2016:16:54:26 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2016:16:54:39 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [08/May/2016:16:54:40 +0800] "GET /eduassistem/js/logincheck.js HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [08/May/2016:16:54:46 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:16:54:46 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:00:11 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2016:17:00:11 +0800] "GET /eduassistem/admin.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [08/May/2016:17:00:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:00:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:08:49 +0800] "GET /eduassistem/admin_user.jsp HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [08/May/2016:17:08:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:08:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:11:34 +0800] "GET /eduassistem/admin_user_add.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [08/May/2016:17:11:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:11:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:12:41 +0800] "POST /eduassistem/admin_user_add.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2016:17:12:42 +0800] "GET /eduassistem/admin_user_add_teacher.jsp HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [08/May/2016:17:12:42 +0800] "GET /eduassistem/js/taddcheck.js HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [08/May/2016:17:12:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:12:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:15:31 +0800] "GET /eduassistem/admin_user.jsp HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [08/May/2016:17:15:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:15:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:15:33 +0800] "GET /eduassistem/admin_user_delete.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [08/May/2016:17:15:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:15:33 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:16:55 +0800] "POST /eduassistem/admin_user_delete.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2016:17:16:56 +0800] "GET /eduassistem/admin_user_delete_teacher.jsp HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [08/May/2016:17:16:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:16:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:20:24 +0800] "GET /eduassistem/admin_bulletin.jsp HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [08/May/2016:17:20:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:20:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:22:59 +0800] "GET /eduassistem/admin_bulletin_add.jsp HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [08/May/2016:17:22:59 +0800] "GET /eduassistem/js/baddcheck.js HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [08/May/2016:17:23:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:23:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:24:55 +0800] "GET /eduassistem/admin_bulletin.jsp HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [08/May/2016:17:24:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:24:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:24:56 +0800] "GET /eduassistem/admin_bulletin_delete.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [08/May/2016:17:24:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:27:05 +0800] "GET /eduassistem/admin_resource.jsp HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [08/May/2016:17:27:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:27:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:32:47 +0800] "GET /eduassistem/admin_resource_course.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [08/May/2016:17:32:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:32:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:36:51 +0800] "GET /eduassistem/admin_resource_course_add.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [08/May/2016:17:36:51 +0800] "GET /eduassistem/js/caddcheck.js HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [08/May/2016:17:36:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:36:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:55 +0800] "GET /eduassistem/admin_resource.jsp HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:56 +0800] "GET /eduassistem/admin_resource_course.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:57 +0800] "GET /eduassistem/admin_resource_course_delete.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:38:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:29 +0800] "GET /eduassistem/admin_resource.jsp HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:30 +0800] "GET /eduassistem/admin_resource_course.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:30 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:30 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:31 +0800] "GET /eduassistem/admin_resource_course_update.jsp HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:40:31 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:41:49 +0800] "POST /eduassistem/admin_resource_course_update_s.jsp HTTP/1.1" 500 4307
0:0:0:0:0:0:0:1 - - [08/May/2016:17:41:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:41:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:46:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:46:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:46:02 +0800] "POST /eduassistem/admin_resource_course_update_s.jsp HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [08/May/2016:17:46:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:46:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:48:58 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [08/May/2016:17:48:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:48:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/May/2016:17:49:04 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [08/May/2016:17:49:06 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 1081
